,name,_id,magnification
TCGA-A1-A0SK,TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297.svs,5bbdeed1e629140048d01bcb,40.0
TCGA-A1-A0SP,TCGA-A1-A0SP-01Z-00-DX1.20D689C6-EFA5-4694-BE76-24475A89ACC0.svs,5bbdee5be629140048d01afd,40.0
TCGA-A2-A04P,TCGA-A2-A04P-01Z-00-DX1.5B481E02-D269-4732-8FDD-6494E6EE2B71.svs,5bbdee95e629140048d01b63,40.0
TCGA-A2-A04Q,TCGA-A2-A04Q-01Z-00-DX1.DF7ED6B6-7701-486D-9007-F26B6F0682C4.svs,5bbdeed2e629140048d01bcd,40.0
TCGA-A2-A04T,TCGA-A2-A04T-01Z-00-DX1.71444266-BD56-4183-9603-C7AC20C9DA1E.svs,5bbdeee0e629140048d01be5,40.0
TCGA-A2-A0CM,TCGA-A2-A0CM-01Z-00-DX1.AC4901DE-4B6D-4185-BB9F-156033839828.svs,5bbdeec6e629140048d01bb9,40.0
TCGA-A2-A0D0,TCGA-A2-A0D0-01Z-00-DX1.4FF6B8E5-703B-400F-920A-104F56E0F874.svs,5bbdeedde629140048d01bdf,40.0
TCGA-A2-A0D2,TCGA-A2-A0D2-01Z-00-DX1.ECD890F5-BA01-4998-B472-7B683BD6D7B1.svs,5bbdee2ee629140048d01aa1,40.0
TCGA-A2-A0ST,TCGA-A2-A0ST-01Z-00-DX1.AE05A5DB-4861-40DE-B0F5-7955FC903A96.svs,5bbdee4ee629140048d01add,40.0
TCGA-A2-A0SX,TCGA-A2-A0SX-01Z-00-DX1.219A994C-8974-4458-98FA-FB1F14868E04.svs,5bbdee9fe629140048d01b75,40.0
TCGA-A2-A0T0,TCGA-A2-A0T0-01Z-00-DX1.51F904DA-A4B5-4451-8AEF-58E7EF7651DB.svs,5bbdee89e629140048d01b4f,40.0
TCGA-A2-A0T2,TCGA-A2-A0T2-01Z-00-DX1.29A5C4C8-6AE8-44EE-98C2-ACBCBFBE9D60.svs,5bbdee2de629140048d01a9f,40.0
TCGA-A2-A0YE,TCGA-A2-A0YE-01Z-00-DX1.8A2E3094-5755-42BC-969D-7F0A2ECA0F39.svs,5bbdee92e629140048d01b5d,40.0
TCGA-A2-A0YM,TCGA-A2-A0YM-01Z-00-DX1.A48B4C96-2CC5-464C-98B7-F0F92AE56533.svs,5bbdee62e629140048d01b0d,40.0
TCGA-A2-A1G6,TCGA-A2-A1G6-01Z-00-DX1.BCC3EC46-CEBF-4B37-BCF0-266D18170B54.svs,5bbdeea7e629140048d01b83,40.0
TCGA-A2-A3XS,TCGA-A2-A3XS-01Z-00-DX1.867925C0-91D8-40A0-9FEA-25A635AC31E7.svs,5bbdeeb6e629140048d01b9d,40.0
TCGA-A2-A3XT,TCGA-A2-A3XT-01Z-00-DX1.336D6C78-576A-481B-8C83-F3A0FC4B182C.svs,5bbdee71e629140048d01b25,40.0
TCGA-A2-A3XU,TCGA-A2-A3XU-01Z-00-DX1.174A92D4-50B2-4A59-AD31-D5EC5BBF2F65.svs,5bbdee8ce629140048d01b53,40.0
TCGA-A2-A3XX,TCGA-A2-A3XX-01Z-00-DX1.03C6D70F-2833-4E97-91B7-DE70CD083D92.svs,5bbdee85e629140048d01b47,40.0
TCGA-A2-A3XY,TCGA-A2-A3XY-01Z-00-DX1.E57FC9BF-411E-4028-AC10-8BCA5D0C8472.svs,5bbdee78e629140048d01b31,40.0
TCGA-A7-A0CE,TCGA-A7-A0CE-01Z-00-DX1.E67322FB-ED25-4B85-B3B0-2B8BD277BB4A.svs,5bbdee39e629140048d01ab1,40.0
TCGA-A7-A0DA,TCGA-A7-A0DA-01Z-00-DX1.5F087009-16E9-4A07-BA24-62340E108B17.svs,5bbdee59e629140048d01af5,40.0
TCGA-A7-A26F,TCGA-A7-A26F-01Z-00-DX1.7ADE881D-325D-48ED-BA2D-30F589CA8EF2.svs,5bbdee77e629140048d01b2f,40.0
TCGA-A7-A26G,TCGA-A7-A26G-01Z-00-DX1.29A27673-A16D-4044-BCCF-14BF6236D7D3.svs,5bbdeeb9e629140048d01ba3,40.0
TCGA-A7-A26I,TCGA-A7-A26I-01Z-00-DX1.0077D012-BC14-4E96-84F7-A1A6A3A778DF.svs,5bbdeee9e629140048d01bf5,40.0
TCGA-A7-A4SD,TCGA-A7-A4SD-01Z-00-DX1.677152B3-17B2-42DB-AEEC-C9509ACCE831.svs,5bbdee7ce629140048d01b37,40.0
